"# Clinical Documentation & Coding — evaluation set AND demo script."
"# Use it twice: (1) read the questions top-to-bottom as your live demo script; (2) import this file unchanged in the agent's Evaluate tab to run the same conversations as tests."
"# Reference responses are grounded in the packaged synthetic canon (the MCP data server's records)."
"#"
"conversationNumber","question","response"
"1","Show Billing Audit Trail for claimref CLM-3301.","Grounded answer from the MCP data server about CLM-3301 (Grace Holt): ENC-8801; Grace Holt; 99214 + 93000"
"1","Show Encounter Transcription for encounterref ENC-8801.","Grounded answer from the MCP data server about ENC-8801 (Grace Holt): Grace Holt; Dr Amara Osei; ambient AI listening"
"1","Show Review Writeback for encounterref ENC-8804.","Grounded answer from the MCP data server about ENC-8801 (Grace Holt): Grace Holt; APPROVED as suggested; one-click approval - no amendments"
"1","Show Soap Coding Suggestion for encounterref ENC-8804.","Grounded answer from the MCP data server about ENC-8801 (Grace Holt): Grace Holt; stable angina, hypertension review; chest pain; GTN spray; ECG performed"
"2","Which claims went to the payer today?","Lists this capability's records from the MCP data server, including CLM-3301 (Grace Holt), without asking for internal identifiers."
"2","Show Billing Audit Trail for claimref CLM-3301.","Full record for CLM-3301: ENC-8801; Grace Holt; 99214 + 93000. Plain text only, no fabricated links."
"2","What should I do next?","Suggests the natural next step in the Clinical Documentation & Coding process without inventing data or links."
"3","Which encounters were recorded today?","Lists this capability's records from the MCP data server, including ENC-8801 (Grace Holt), without asking for internal identifiers."
"3","Show Encounter Transcription for encounterref ENC-8801.","Full record for ENC-8801: Grace Holt; Dr Amara Osei; ambient AI listening. Plain text only, no fabricated links."
"3","What should I do next?","Suggests the natural next step in the Clinical Documentation & Coding process without inventing data or links."
"4","Which notes are awaiting clinician review?","Lists this capability's records from the MCP data server, including ENC-8801 (Grace Holt), without asking for internal identifiers."
"4","Show Review Writeback for encounterref ENC-8804.","Full record for ENC-8801: Grace Holt; APPROVED as suggested; one-click approval - no amendments. Plain text only, no fabricated links."
"4","What should I do next?","Suggests the natural next step in the Clinical Documentation & Coding process without inventing data or links."
"5","What codes were suggested for Grace Holt's encounter?","Lists this capability's records from the MCP data server, including ENC-8801 (Grace Holt), without asking for internal identifiers."
"5","Show Soap Coding Suggestion for encounterref ENC-8804.","Full record for ENC-8801: Grace Holt; stable angina, hypertension review; chest pain; GTN spray; ECG performed. Plain text only, no fabricated links."
"5","What should I do next?","Suggests the natural next step in the Clinical Documentation & Coding process without inventing data or links."
