"# Prior Authorization & Utilization Management — evaluation set AND demo script."
"# Use it twice: (1) read the questions top-to-bottom as your live demo script; (2) import this file unchanged in the agent's Evaluate tab to run the same conversations as tests."
"# Reference responses are grounded in the packaged synthetic canon (the MCP data server's records)."
"#"
"conversationNumber","question","response"
"1","Does AUTH-88401 need prior authorization?","Grounded answer from the MCP data server about AUTH-88401 (Jordan Avery): Jordan Avery; MRI lumbar spine; 72148"
"1","Draft an appeal for the denied proton therapy request AUTH-88377.","Grounded answer from the MCP data server about AUTH-88377 (Marcus Bell): Marcus Bell; Proton beam therapy (CPT 77523); Fabrikam Insurance"
"1","What's the payer status of AUTH-88350?","Grounded answer from the MCP data server about AUTH-88401 (Jordan Avery): Jordan Avery; MRI lumbar spine; Contoso Health"
"1","Write back the approval for AUTH-88394 to the EHR.","Grounded answer from the MCP data server about AUTH-88401 (Jordan Avery): Jordan Avery; MRI lumbar spine; Contoso Health"
"2","Does AUTH-88401 need prior authorization?","Lists this capability's records from the MCP data server, including AUTH-88401 (Jordan Avery), without asking for internal identifiers."
"2","Does AUTH-88401 need prior authorization?","Full record for AUTH-88401: Jordan Avery; MRI lumbar spine; 72148. Plain text only, no fabricated links."
"2","What should I do next?","Suggests the natural next step in the Prior Authorization & Utilization Management process without inventing data or links."
"3","Why was Marcus Bell's authorization denied?","Lists this capability's records from the MCP data server, including AUTH-88377 (Marcus Bell), without asking for internal identifiers."
"3","Draft an appeal for the denied proton therapy request AUTH-88377.","Full record for AUTH-88377: Marcus Bell; Proton beam therapy (CPT 77523); Fabrikam Insurance. Plain text only, no fabricated links."
"3","What should I do next?","Suggests the natural next step in the Prior Authorization & Utilization Management process without inventing data or links."
"4","What's the payer status of AUTH-88350?","Lists this capability's records from the MCP data server, including AUTH-88401 (Jordan Avery), without asking for internal identifiers."
"4","What's the payer status of AUTH-88350?","Full record for AUTH-88401: Jordan Avery; MRI lumbar spine; Contoso Health. Plain text only, no fabricated links."
"4","What should I do next?","Suggests the natural next step in the Prior Authorization & Utilization Management process without inventing data or links."
"5","What's the auth number and validity window for Priya Nair's knee replacement?","Lists this capability's records from the MCP data server, including AUTH-88401 (Jordan Avery), without asking for internal identifiers."
"5","Write back the approval for AUTH-88394 to the EHR.","Full record for AUTH-88401: Jordan Avery; MRI lumbar spine; Contoso Health. Plain text only, no fabricated links."
"5","What should I do next?","Suggests the natural next step in the Prior Authorization & Utilization Management process without inventing data or links."
