"# Payments Operations Excellence — evaluation set AND demo script."
"# Use it twice: (1) read the questions top-to-bottom as your live demo script; (2) import this file unchanged in the agent's Evaluate tab to run the same conversations as tests."
"# Reference responses are grounded in the packaged synthetic canon (the MCP data server's records)."
"#"
"conversationNumber","question","response"
"1","Show Correspondent Fraud Monitor for view limits","Grounded answer from the MCP data server about Deutsche Bank AG (Deutsche Bank AG): EUR; 0.78; within limit"
"1","Show Payment Exception Recon for reference PAY-731205.","Grounded answer from the MCP data server about PAY-731205 (Northwind Traders Ltd): Northwind Traders Ltd; invalid beneficiary IBAN checksum"
"1","Show Payment Ingestion Screening for paymentreference PAY-731162.","Grounded answer from the MCP data server about PAY-731205 (Northwind Traders Ltd): Northwind Traders Ltd; 48250.0; GBP"
"1","Show Payment Query Analytics for paymentreference PAY-731150.","Grounded answer from the MCP data server about PAY-731150 (Woodgrove Bank plc): Woodgrove Bank plc; GBP 18,000.00; Faster Payments"
"2","Which correspondent banks are approaching their limits?","Lists this capability's records from the MCP data server, including Deutsche Bank AG (Deutsche Bank AG), without asking for internal identifiers."
"2","Show Correspondent Fraud Monitor for view limits","Full record for Deutsche Bank AG: EUR; 0.78; within limit. Plain text only, no fabricated links."
"2","What should I do next?","Suggests the natural next step in the Payments Operations Excellence process without inventing data or links."
"3","Which STP exceptions are open right now?","Lists this capability's records from the MCP data server, including PAY-731205 (Northwind Traders Ltd), without asking for internal identifiers."
"3","Show Payment Exception Recon for reference PAY-731205.","Full record for PAY-731205: Northwind Traders Ltd; invalid beneficiary IBAN checksum. Plain text only, no fabricated links."
"3","What should I do next?","Suggests the natural next step in the Payments Operations Excellence process without inventing data or links."
"4","What records do you hold for PaymentIngestionScreening?","Lists this capability's records from the MCP data server, including PAY-731205 (Northwind Traders Ltd), without asking for internal identifiers."
"4","Show Payment Ingestion Screening for paymentreference PAY-731162.","Full record for PAY-731205: Northwind Traders Ltd; 48250.0; GBP. Plain text only, no fabricated links."
"4","What should I do next?","Suggests the natural next step in the Payments Operations Excellence process without inventing data or links."
"5","Where is the payment to Woodgrove Bank?","Lists this capability's records from the MCP data server, including PAY-731150 (Woodgrove Bank plc), without asking for internal identifiers."
"5","Show Payment Query Analytics for paymentreference PAY-731150.","Full record for PAY-731150: Woodgrove Bank plc; GBP 18,000.00; Faster Payments. Plain text only, no fabricated links."
"5","What should I do next?","Suggests the natural next step in the Payments Operations Excellence process without inventing data or links."
