"# Loan Origination & Credit Decisioning — evaluation set AND demo script."
"# Use it twice: (1) read the questions top-to-bottom as your live demo script; (2) import this file unchanged in the agent's Evaluate tab to run the same conversations as tests."
"# Reference responses are grounded in the packaged synthetic canon (the MCP data server's records)."
"#"
"conversationNumber","question","response"
"1","Show Credit Decision Engine for applicantname LN-73214.","Grounded answer from the MCP data server about LN-73214 (Priya Sharma): Priya Sharma; 32000; 742"
"1","Show Loan Application Intake for applicantname LN-73214.","Grounded answer from the MCP data server about LN-73214 (Priya Sharma): Priya Sharma; 32000; home improvement"
"1","Show Loan Offer Drawdown for applicantname LN-73186.","Grounded answer from the MCP data server about LN-73186 (Elena Rossi): Elena Rossi; 45000; 6.4"
"1","Show Referred Case Portfolio for casereference LN-73214.","Grounded answer from the MCP data server about LN-73214 (Priya Sharma): Priya Sharma; 32000; awaiting underwriter"
"2","Which applications are on the decision queue?","Lists this capability's records from the MCP data server, including LN-73214 (Priya Sharma), without asking for internal identifiers."
"2","Show Credit Decision Engine for applicantname LN-73214.","Full record for LN-73214: Priya Sharma; 32000; 742. Plain text only, no fabricated links."
"2","What should I do next?","Suggests the natural next step in the Loan Origination & Credit Decisioning process without inventing data or links."
"3","What records do you hold for LoanApplicationIntake?","Lists this capability's records from the MCP data server, including LN-73214 (Priya Sharma), without asking for internal identifiers."
"3","Show Loan Application Intake for applicantname LN-73214.","Full record for LN-73214: Priya Sharma; 32000; home improvement. Plain text only, no fabricated links."
"3","What should I do next?","Suggests the natural next step in the Loan Origination & Credit Decisioning process without inventing data or links."
"4","What records do you hold for LoanOfferDrawdown?","Lists this capability's records from the MCP data server, including LN-73186 (Elena Rossi), without asking for internal identifiers."
"4","Show Loan Offer Drawdown for applicantname LN-73186.","Full record for LN-73186: Elena Rossi; 45000; 6.4. Plain text only, no fabricated links."
"4","What should I do next?","Suggests the natural next step in the Loan Origination & Credit Decisioning process without inventing data or links."
"5","Which referred applications await an underwriter?","Lists this capability's records from the MCP data server, including LN-73214 (Priya Sharma), without asking for internal identifiers."
"5","Show Referred Case Portfolio for casereference LN-73214.","Full record for LN-73214: Priya Sharma; 32000; awaiting underwriter. Plain text only, no fabricated links."
"5","What should I do next?","Suggests the natural next step in the Loan Origination & Credit Decisioning process without inventing data or links."
