"# Intelligent Patient Intake & Triage — evaluation set AND demo script."
"# Use it twice: (1) read the questions top-to-bottom as your live demo script; (2) import this file unchanged in the agent's Evaluate tab to run the same conversations as tests."
"# Reference responses are grounded in the packaged synthetic canon (the MCP data server's records)."
"#"
"conversationNumber","question","response"
"1","Show Clinician Queue Registration for patientref PT-4474.","Grounded answer from the MCP data server about PT-4474 (Marcus Reid): Marcus Reid; Resus bay 1"
"1","Show Insurance Ehr Bedding for patientref PT-4474.","Grounded answer from the MCP data server about PT-4471 (Grace Holt): Grace Holt; Northwind Health Plus; eligible - cardiac pathway covered"
"1","Show Patient Contact Identity for patientref PT-4471.","Grounded answer from the MCP data server about PT-4471 (Grace Holt): Grace Holt; walk-in; MRN-002214"
"1","Show Symptom Triage Scoring for patientref PT-4474.","Grounded answer from the MCP data server about PT-4471 (Grace Holt): Grace Holt; 9; hypertension; penicillin allergy"
"2","Which care queue is each patient in?","Lists this capability's records from the MCP data server, including PT-4474 (Marcus Reid), without asking for internal identifiers."
"2","Show Clinician Queue Registration for patientref PT-4474.","Full record for PT-4474: Marcus Reid; Resus bay 1. Plain text only, no fabricated links."
"2","What should I do next?","Suggests the natural next step in the Intelligent Patient Intake & Triage process without inventing data or links."
"3","Are there any coverage gaps or pre-auth flags today?","Lists this capability's records from the MCP data server, including PT-4471 (Grace Holt), without asking for internal identifiers."
"3","Show Insurance Ehr Bedding for patientref PT-4474.","Full record for PT-4471: Grace Holt; Northwind Health Plus; eligible - cardiac pathway covered. Plain text only, no fabricated links."
"3","What should I do next?","Suggests the natural next step in the Intelligent Patient Intake & Triage process without inventing data or links."
"4","Who has arrived for intake today?","Lists this capability's records from the MCP data server, including PT-4471 (Grace Holt), without asking for internal identifiers."
"4","Show Patient Contact Identity for patientref PT-4471.","Full record for PT-4471: Grace Holt; walk-in; MRN-002214. Plain text only, no fabricated links."
"4","What should I do next?","Suggests the natural next step in the Intelligent Patient Intake & Triage process without inventing data or links."
"5","Which patients are highest priority right now?","Lists this capability's records from the MCP data server, including PT-4471 (Grace Holt), without asking for internal identifiers."
"5","Show Symptom Triage Scoring for patientref PT-4474.","Full record for PT-4471: Grace Holt; 9; hypertension; penicillin allergy. Plain text only, no fabricated links."
"5","What should I do next?","Suggests the natural next step in the Intelligent Patient Intake & Triage process without inventing data or links."
